ID,Target,Well
1,H30,A8
1,H30,B8
1,N,C1
1,N,D1
1,RdRp,A5
1,RdRp,B5
1,S,B1
1,S,B2
2,H30,C8
2,H30,D8
2,N,A1
2,N,G1
2,RdRp,C5
2,RdRp,D5
2,S,A3
2,S,B3
3,H30,E8
3,H30,F8
3,N,F1
3,N,H1
3,RdRp,E5
3,RdRp,F5
3,S,C3
3,S,D3
4,H30,G8
4,H30,H8
5,H30,A9
5,H30,B9
5,RdRp,E6
5,RdRp,F6
5,S,G3
5,S,H3
6,H30,C9
6,H30,D9
6,N,A10
6,N,B10
6,RdRp,A6
6,RdRp,B6
6,S,C10
6,S,D10
7,H30,E9
7,H30,F9
7,N,E10
7,N,F10
7,RdRp,C6
7,RdRp,D6
