Cycle,A17,A18,A19,A20,A21,A22,A23,A24,B17,B18,B19,B20,B21,B22,B23,B24,C17,C18,C19,C20,C21,C22,C23,C24,D17,D18,D19,D20,D21,D22,D23,D24,E17,E18,E19,E20,E21,E22,E23,E24,F17,F18,F19,F20,F21,F22,F23,F24,G17,G18,G19,G20,G21,G22,G23,G24,H17,H18,H19,H20,H21,H22,H23,H24,I17,I18,I19,I20,I21,I22,I23,I24,J17,J18,J19,J20,J21,J22,J23,J24,K17,K18,K19,K20,K21,K22,K23,L17,L18,L19,L20,L21,L22,L23,M17,M18,M19,M20,M21,M22,M23,N17,N18,N19,N20,N21,N22,N23,O17,O18,O19,O20,O21,O22,O23,O24,P17,P18,P19,P20,P21,P22,P23,P24
1,6.7459665124934,14.440352678836,9.06963087919939,-7.26027479315917,-7.88952990336747,1.55233124319329,0.470449956732409,6.32888050885958,27.5842587577504,30.0764595856531,29.4479288757025,28.0029219431494,30.9080765970057,-0.710337231197173,5.2393529256733,-0.498102235412716,18.2462262282529,28.1741743654679,25.3934854431441,18.7773067330236,10.2131150841619,-0.346128086381668,2.01334096989513,4.72357677304944,28.1831256390628,25.7080528703796,18.5702186216795,20.8837917354676,13.6200998819336,2.26508204606125,0.47457196740379,3.60662024342946,23.1178915388205,22.1907730535427,17.0161182944066,26.9538101868825,8.10263040352902,-0.530137036097585,1.22911024578525,-0.163560538409911,25.7414482635368,32.9253269849019,21.1920339755684,7.96077625908947,25.0007530652128,-5.15957844275954,2.83453814265067,1.04382864479476,24.4189799021865,50.5367750647169,19.0760245578244,10.922318216999,-2.37867420176144,0.997690310222424,4.82932207910881,1.9381340096129,20.8682847798809,34.4227642941569,32.609330993922,25.5918193729012,5.27363824107169,-0.922052850202363,1.62942769337906,-4.51052055313903,26.0040681405308,19.4378699993154,14.9362781955756,26.7073622707271,-1.24810364015821,-1.22703757351974,3.86148404943469,-8.81782081899291,26.9065724886609,26.6803774722785,23.8580494407174,15.7540150024133,-2.25964754051483,-1.33850962157567,1.60248846260538,30.6353765991685,29.5129074028559,33.7303721635276,27.1162903107897,23.3910466206648,3.90871812020396,1.77508092293283,-1.70179655293896,38.3262250830358,34.7611221942557,38.3630552065242,24.3831252604637,1.66969139394905,2.59911810422818,-4.05206587965404,32.6727641698449,33.3904362637822,33.3590022551225,17.2390982058728,-2.03411466416628,-0.571490932346023,2.35340618669306,26.229632887103,46.3783604291239,30.0749058091465,17.0298843621677,2.07914719133623,-1.59596320179617,0.822073918542628,25.3973624827927,23.8493243841831,22.8643809760083,25.9663953090194,-4.92413509781909,5.67444030492743,0.202241191936082,6.08850485629955,21.769230846443,16.5036811713194,30.7411993762526,25.9101872219308,0.329891150528965,1.76165931852165,1.52036194316224,-56.4088494651628
2,7.4874415730178,12.8028845221634,9.13809181909392,-7.94655869514781,6.28565102236644,-1.27322505453094,1.80047394830535,2.06986092405805,7.98325734087439,15.3933162217818,13.684395777324,10.7467510232636,11.6384949090502,-2.48247172545689,0.669714698336975,-1.71694887752847,7.07128178464927,16.4525473448002,11.0609092425184,8.03837631482656,-7.79117240174037,0.284559754122256,1.04284723162846,-0.30316605401822,9.77172159851398,10.2212877685279,1.64147595010172,10.6431853452405,6.02287439687098,3.52853951430279,-5.31428610020748,-4.66149972733911,5.26713872179971,2.90533301515006,2.14597656315482,13.4512989375162,0.390817011229501,-2.04601618913648,-2.09371608469837,-1.94461231764626,9.42921564974358,18.3982139334526,2.05186271896855,2.90575319234404,8.84924150591542,1.23305394272165,-0.998191946864154,-0.422715933601921,8.54439205052677,26.5967606703903,0.441124161310654,2.73874450860149,1.64994692509708,3.1583479172732,5.47808060854413,6.87513295863664,11.7947277117705,19.2691377528545,21.3291500813775,10.2655061390979,-0.200782938673456,-2.58340744494899,3.18013701405471,-2.62233148239238,13.63378464173,4.89628923956889,1.92372906223773,20.5666422152472,-0.0966265011138603,1.41910976415284,1.80884220090911,-8.46347075826588,11.4053669762425,14.1439205628485,8.12449463966459,10.0867358608939,0.826926778512643,1.20116987918209,2.06441873192171,35.54305845611,14.3482193847572,12.6787208114019,5.80123945450987,8.4167626543267,-1.11292485975855,-0.783052445314297,-3.36229912319322,22.9906073024922,14.1008805786287,17.7707134749635,9.12945424387681,0.770162613053344,2.2484341098575,-0.75704197705727,12.593647654608,11.6717460932027,17.0444218202388,9.28183279148334,-2.89152833714434,1.38601516943118,-2.58791673600354,6.82682333948287,33.2180215142839,17.1019889884865,4.80137179398798,-0.909190763330571,-0.667030751929815,-1.12072797879182,7.15993672029754,16.1699106495948,8.81191779080655,14.4048716476977,-0.954911788712252,1.27316367284311,4.30656939012579,10.1200625430356,11.7135385960696,7.38467290135168,22.5780899567526,17.5657234149048,-0.432264768299774,3.0882326460669,-3.77390769157864,-18.0959103425407
3,5.22033963391823,6.01497669797027,10.9372442781146,3.00321615080702,5.21210124724848,0.677530254545218,-2.6025970715591,1.91723573246645,7.77493037069189,16.3829365433908,7.36929275793364,4.28466660126787,12.0026585240475,-3.97373031954203,1.72356611485884,-3.76040245487957,7.41143718023568,5.49423410983945,10.3017715197789,10.9623952586398,0.326520178090504,0.842266593353088,1.81278099953806,1.82692571292637,9.15903807856239,7.36171876246863,12.7550261620686,5.16104682930154,2.70629494600826,0.615017751892992,2.24105977210866,0.66460917915947,6.39360952884181,5.91873922160494,3.3762068244796,6.04974785593049,6.38938424166145,-0.585696956596621,2.63423985016789,1.94313357669716,10.2379202388006,12.7691777380364,1.61480931320966,5.17010053507738,6.73003827979755,2.83868539457717,-1.57887905055532,1.06493252848713,10.2260847536581,10.5882017402273,10.834679613542,4.76912602495258,-0.0859641444762929,2.15605332330324,1.91641202210167,0.517824728271535,6.5645436337154,17.0797702456794,10.5014598386388,4.59778832088523,-4.95112975869051,0.0233209708931099,2.49172180694359,-3.37855630292233,5.67364182701249,6.43916293715984,-2.07963919348231,27.5038784789781,-2.18198850722365,1.74793330466127,2.60591261343734,-5.1656697422718,4.0596170352751,4.91584644459317,7.41252816616543,8.17227096447323,2.39980798054967,3.3336302876437,-1.67082705214079,37.5203695847631,11.8960537508583,11.8680788955194,10.1440129569928,3.72789854101802,4.17692289081697,0.955794559472906,-3.31477232207226,12.2565159688061,16.5260460944655,9.13528697753281,5.60401493445715,-0.356835127204704,-1.66190081720697,-2.10996394718723,8.35885392953787,13.8494257710845,12.3656268686718,8.39181132569138,1.09391273699703,-2.63568108344089,0.58631369368004,6.9758789416378,31.8261765076709,10.3220818039345,6.79231887752394,1.10484883076197,-4.02315473073122,0.434765748706468,6.66170112568761,14.6025443472017,6.86058517419406,10.594762396111,-1.14513972845316,-1.11124636012619,1.18755781567779,7.81391698716834,7.19427368347533,8.66581286131395,14.9248279428139,11.8419439478348,3.5735304466557,0.908751276961539,-1.83732455918948,-5.84542589632747
4,1.55131542294248,9.1200191106318,9.43201025602411,6.5263041248968,4.33689496000761,-1.53684925202651,-2.78058665440722,1.49578325252969,6.95119341322106,3.45478929312458,8.40075811321958,-0.848718531939994,7.23388876754188,-1.90883567179571,-0.52661890177842,0.835622457288991,3.98188873700428,7.76165188923642,6.97732786487177,4.74580372356559,2.43244220743509,-0.227667766968807,0.672341984832201,0.47780015435319,2.12629947110781,8.70537527617489,5.52257530043244,-1.38035473132413,5.00073423557978,-1.7703433298957,4.04491860535745,4.68930121323592,4.27150615020764,6.72494909616262,3.11471389723738,10.8645487712975,3.01381033933876,2.73640707123286,2.15730455957464,0.967826787586546,4.15843995042496,15.5747662514182,7.76951191473927,3.16380925154363,6.77685758615644,-0.297027550562234,1.74551165427783,-1.51135414686178,-0.688424011467305,10.6765947606459,4.84173390960086,5.12474754534151,2.94366686404646,1.56151642640907,2.86302383075781,7.80687295271127,3.35844233157286,3.12999062033396,5.76155748553219,8.70100764235303,0.607351978569113,2.48465299142708,-0.297687675501948,2.81758819057814,4.99142327126719,3.46631694644475,3.77999086840236,4.89278697026111,5.80436919580734,2.2753933888248,-1.4984558442743,-9.12051137141634,9.27881886723617,5.45067385161337,3.63154242064002,6.99866443441033,-1.02861024235108,-2.80321939466376,2.18427124929394,50.0271594463588,5.19313635068465,9.06077286196478,3.21782494254012,7.61062702056597,-0.0383149950198458,-1.33900290082966,-0.150888456322718,8.13268158673964,2.32849495370192,3.11971749979966,5.87563042902593,-1.38284660035197,-1.44038839202767,1.87077085571445,4.56239848116138,3.27203973068436,7.64571530004832,13.0508739374441,-2.65155760443167,1.63017633124946,4.17826500627962,7.28637274859739,32.7046609457116,7.56369295611466,1.89079283542424,-1.99926534452925,0.290992229635776,-1.93279169932066,8.53966651027849,10.2135819697132,10.1405676052532,9.50540096494296,0.482358395039682,1.36927458964919,-0.422772589398392,4.72072044073957,6.51637298045898,4.03318669046348,11.0498128765103,9.17176219923886,0.92910977825386,-1.22993815975815,2.14085742980296,-2.39297826755728
5,10.2852860344669,4.46110215428962,9.16076421470189,3.37482477071444,4.45661064768319,6.13925302609005,-6.85934676468105,4.70897889458274,6.604660921103,12.6995311676833,6.94829766616294,2.83004410545664,6.41634988600208,-2.06404217131467,-0.812063926594874,3.62094801456715,6.30801531493944,9.76551576060592,2.84604993030462,3.7972958000305,8.67040686240261,3.09510093746121,3.05009463570559,0.0366672991071937,5.37069864264322,3.07584647284966,4.87892603355158,0.483023047287588,8.53586004640556,-1.39969109364301,2.50369112816543,3.80051620833547,1.13727690409314,5.2754999183544,6.13070003146504,4.82740421307153,3.91124967195765,1.11676942023405,3.70009315414381,1.12587686245797,1.75408903481275,12.233374725568,1.93543899807901,8.07433522318706,8.29586766562716,1.25355963286211,2.01260442204875,3.10603553719375,3.72270253532861,7.28993642356591,2.11648086496689,7.59248302523292,-2.41060200801394,1.04422056309386,-2.07680466465354,2.2863292101174,1.10484630563133,6.65084383904332,6.44636669205147,5.37350859295475,0.479927693103946,-0.647386498111246,0.579696722617882,1.08027291047983,5.40959888312864,3.88133680462033,3.29866335912038,2.44623333949812,0.693445812300979,-0.803143308568451,-1.30823462902026,-3.14274713578516,2.85089682507669,0.422550755866268,5.78451262423869,2.20827373919474,3.05337569640551,0.393661263992726,4.93958393400135,59.9936379601827,2.19020157997784,7.30375830203684,2.83420675429761,5.99508448330653,1.28261219354272,-4.19051331935952,0.691881202592867,3.32003545909356,6.09746807259853,0.413279622854589,5.97836335071952,1.50423505608887,-0.839772026184164,5.63930807429961,6.38829694241394,3.40605961449455,4.32189320979342,8.527782092086,0.790499395614916,0.731539593479283,-1.84320926509054,5.48188638107422,-2.32063940786293,6.65170738079951,4.5823379723879,2.77080541057057,1.98070173102496,2.61867957297272,6.99693141736361,9.8981761138416,8.81370026680452,4.20700283663473,0.582573241652881,-4.31228627180599,-0.892248211337574,1.23679865223585,3.50723012863318,9.23521907374925,3.89856594283992,8.45920518740331,1.90388051617629,-3.43089500436463,2.59123760675061,6.20230319880829
6,5.58892602717106,7.83092345489194,7.71769153430478,3.90107640238784,10.4737978659364,-4.22348524793051,7.70888200117224,-1.27511679541612,2.10082449775382,2.41642442553348,2.08135447894665,-1.53566318782487,7.49499125007742,0.63537609010973,-2.25756770302178,-4.252338856596,2.56556838540291,5.58594436374005,2.02601180650845,3.0374558561507,3.69264389885757,4.19117169371657,1.5754619742861,6.22731461949252,1.44208817292247,4.83582897507767,0.322274433874554,4.25960789886221,1.54314421131994,0.146529336567255,1.29038878776328,-0.454459135971319,6.33365180857754,9.78591516784036,6.853574974597,7.75612595103348,4.6226755327607,-0.952076685440261,-1.53997900416425,-3.94601537919834,1.90256885070676,4.30987471508888,8.52695945857658,4.7802552447688,3.07217568917486,-1.87250705699762,6.13577800542816,3.63371593459942,2.14009356603674,1.19793672029436,5.86789176897764,2.24213835533783,1.26303290837768,-1.69287311623339,-3.91121822739933,8.25164013137737,1.7598006754456,-0.136793296278938,1.19086501226684,2.23218570991048,2.4521715152232,-1.30828309819117,-2.2426264538899,-3.31766630306038,4.38728996349391,-1.5565625464983,5.59032623294661,-4.9748606756707,-1.29577460545033,-1.72004589683092,-1.07369910576836,0.172889855953144,-0.0400571700647561,0.95344103628986,1.52363457078218,5.27288982043365,1.67066532070339,-1.47124791935585,-0.609773080074774,66.5362407668581,-2.63819946380636,5.28364071443639,2.53506231992424,4.9856347939176,-1.27220721376716,0.0608167328746276,-1.52161553336418,-1.56056519440381,2.85838593990002,-0.906642668292989,1.31770962002611,1.10374421092365,-3.80980164234734,-1.98621981046063,2.41476903648118,1.62853852484386,3.97387783219665,14.3983119938644,-0.985456561580577,-1.1196032630005,0.612746768188117,2.96716197009664,-10.363733468912,4.68303976903508,3.44154622006636,-1.0265498127842,0.626155028345693,0.767677979879863,9.822034804748,-1.56094317465158,2.24532504384342,3.99273222527108,-0.638160440483261,3.22953474927135,3.21218767186792,4.92612564822639,1.13307551001981,1.94922681917888,-1.17511845094759,3.83905820292739,-0.0309954492795441,5.28928322127604,-2.86966547275551,1.53270478355353
7,-2.5415824059296,-3.98192652209718,3.42496067494767,4.54766534728196,0.235537124844996,-1.6461669478249,7.21355329800281,1.86221297946759,-4.02819508418816,3.79817080371959,-2.29118077292014,-0.118351740136859,-8.68597065284621,4.73204453497601,-3.40454037313975,3.29232264466418,4.41466930307888,-5.00993048156261,-0.194092432344405,-2.19341780120612,7.85081693624898,-5.70772667234269,-3.90132190897157,-5.14690686302902,-2.63440297950774,1.41851777689863,-1.16926574055196,5.68728952523361,0.911856396577605,2.18995790227291,-2.80433597330239,-3.12732003854535,2.80599107418584,2.96983469385896,1.46895613187417,1.86020670407106,4.77854386972513,-4.9525317179382,-0.297987758071486,-3.45373573413144,-1.06084956502718,5.60519637204743,-2.44554575728625,5.15601105133874,-2.57033693680933,-1.59870275572621,0.147487752230063,-4.69518734761414,2.28383056598977,1.55073801671369,-1.72943742003281,2.26097833338872,-0.577316896986304,1.90176917366352,-0.658979377723881,9.01020767499222,-1.50200744260337,2.87467158657319,-1.50057125509829,-0.456803025457702,2.77765471927614,1.59785541833526,1.57512747037981,6.35781916537371,-2.37306634628885,1.45299592726997,0.0996445905097971,-8.09636431873787,3.13137457519497,-1.27227476034068,-5.13151377658505,1.22995103730864,4.91811797338642,-0.177270324194069,0.501223881234182,-2.55027675677184,-0.974786956545358,-1.91257008149068,-0.116878288361022,66.0537359742025,-3.45090449404825,0.460800815568291,-4.23068264415724,5.62935508844475,-2.31508941810762,-0.598649949634364,-0.0664183209669318,2.93625001480041,-4.55987620946826,-2.35864257375852,-4.44618748596167,0.671428469754574,1.2388448990796,1.77894929619833,-0.547151226853657,-3.03901778379668,-3.51420385417396,11.5093622550203,-0.142089156042402,3.43252183694403,1.14420711362163,4.70292066804222,-18.0284870474597,-1.70981987293271,-0.0887061110915965,2.6739877517166,0.349386968419367,-3.97846880896168,9.23616600440164,-2.50301524375936,-2.77095321289926,0.03862610891656,2.49533302155442,-2.26332276532867,3.14810798896224,0.436755519232065,-2.11911318818602,0.892511676467166,-7.97342926820647,0.914751886607974,-2.6798588946117,2.15030929209843,-0.59284647957179,6.7209021259855
8,0.930175068826884,-2.29051192432371,-4.85414992351571,1.24293672143403,-7.64302348999126,1.49594570974114,0.00464087619002385,-2.32576833987787,-5.13148020010976,-3.8022260792095,-3.97637207274056,1.41621135615105,-2.07506365369227,3.62234247065135,-0.522830074014109,-0.0599103996091799,-3.90777251887175,0.285761296049259,-5.60359001029656,-3.34668276729781,2.15829176523857,2.60383605789639,-1.88972572410512,1.94020944949716,-2.34577761835453,-1.50648423527673,-6.72611287925383,5.77178209142494,-4.43085234870887,-1.72691638838933,-0.145741340585573,-1.67751368519339,-0.0678745326154058,1.9169958714424,-0.183272928869883,-1.28323812923827,-3.86594192508937,2.29891118034584,1.13584687819821,3.52149898447396,-1.4668004691116,-1.0650369360219,1.33152459894291,5.70741641275163,-3.37252071489729,-2.41857195489638,-1.31232799907548,-0.439807594737886,-1.85302738266273,-5.39761766092852,-5.00369191763366,-2.62583159619498,6.63874857291239,-1.48223884349409,1.83099164790656,10.7863220665595,-1.45878095062744,2.01323052633916,0.821612846214975,-4.85982603573848,0.893225869030175,-1.9159247474945,1.33204723430072,6.38096613010703,-2.36004610683767,-4.71813224906191,1.54056800620583,-3.83015352051871,0.5470587925779,3.26342579105176,2.03117048044669,6.38763128915662,-4.17534598062639,0.884094877301777,-4.3031666127581,-1.25401505848458,-2.3593383473808,2.19456281765724,-4.1139501879793,72.7939287547424,-4.08911782160976,-5.48110627517963,-7.724006124487,-3.33824029101379,-4.52791432825234,3.28232440823922,4.03182717295113,-4.23176517663069,-5.29665851803702,-2.40948723214751,-2.4196478834242,-2.24960362305274,3.30409610916695,-1.80927985903645,-0.994657174445365,-5.7372350822011,0.970274073685687,-8.9878845751582,1.88388931275085,-1.72235843896169,0.162535909153576,-1.77951895104161,-14.6034825001466,-5.12086124860161,-1.66351059767248,1.05268662225762,0.150494763612187,0.784242405310124,7.37366747057831,-6.05232605038282,-3.75695218189503,-6.33792268421985,-2.67725713067193,1.11506751145635,-0.872573939744143,-4.71043100713996,-1.8634420295989,0.845262632428785,-4.22356054332704,-3.87474310689959,-0.416929293036901,-1.21724195445722,0.977115955193767,6.15938590186715
9,-7.69113802007769,-6.75596137143748,-12.8454703321941,-0.543482906505233,-2.86857440189306,-7.1024008123195,1.04264357284364,-5.84748535951849,-5.20274085781421,-7.99399178111207,-8.89185020998775,-1.7463396520784,-11.4253792267505,3.58633063025036,-1.20416486127442,4.48265599789056,-8.53805717439218,-4.79369785286826,-7.1392117518576,-3.8094532881837,-2.24200925462037,-2.56215673636189,-0.558829231246364,-1.90429178786735,-4.56489075975378,-3.90327047043638,-5.56247617459985,-2.31017204517138,-6.79555299369804,0.970871370219811,-0.654749915097,-1.66855607162825,-0.538155509231729,-2.65353685253785,-9.85716699050454,-2.47960080750772,-2.75572254484405,0.198101061864236,-2.28323146306366,-2.53259279862004,-1.93427647462568,0.27922280584562,-2.08746452100013,3.30103239816526,-7.07996759164234,4.99907372817415,-1.05068922176088,-0.47940270561412,-6.76544210441989,-1.28728654652286,-3.63811337144716,-2.94615827477082,-1.17967689018906,-2.80615443969282,0.060273236159901,5.62286353963782,0.00333744564250082,2.73458764609313,-4.5949159130455,-4.35175306940755,0.213696716876711,0.410593303077349,-0.966491932381814,0.427705793143105,-2.06513334870124,1.94513118481473,-2.4152566176831,-6.56041743406513,-0.700063666402457,0.946058960741084,-2.76813572945639,6.12026080220949,-7.43767732366177,0.00265354871862655,-3.29350282733367,-5.99934648644012,-0.186203518802813,-1.16775395701643,-0.281497033129199,78.8181675841552,-1.71863860663098,-6.53797542187249,-3.96574215554847,-5.41659724707006,-2.96932869857073,-2.50849794550004,0.555386356985764,-4.10960165324968,-2.80143711408437,-3.82869362532983,1.21537710632629,-3.29815827657649,0.864952023499427,-1.51963287922581,-1.82930166909046,-5.093295320582,-2.80177655184889,-19.3041663167692,-1.2364356444582,4.59794073934245,1.63261288004787,1.55284511349464,-13.5448559831734,-2.67194789834912,-5.40970221818361,2.41852537952445,1.48609905710191,-2.75041890809325,3.60205734579313,-6.66372122550274,-5.44865666552505,-8.70834231060417,1.65048264277993,1.89225068857104,0.569424574669029,-3.17792012750942,0.111033509337631,-9.30465536724796,-7.95563343737967,-5.66974458794948,-3.91710935435549,-0.730520891363085,-2.35380069249413,-0.906009943627851
10,-4.54283289863952,-6.67567119793193,-9.84145708144843,-7.59897179456493,-6.8137088245212,1.83322436422895,2.49260085917194,-4.49851296802535,-6.2423047020261,-9.21921651374532,-8.76681788825454,2.20479014155444,-4.69877370143877,-2.49965891727516,-0.277210877647576,0.796265893457985,-6.0076042348046,-5.40206991142122,-7.52260613182261,-8.96372395780509,-8.01338792827164,-0.40280836609918,-0.631916268884197,-1.93655105453172,-5.82530278560853,-4.52375235001682,-6.85963052405123,-1.22090802141565,-5.15823489859213,-1.44599839370949,0.0861408335126725,-0.147364215039943,-5.86479165900028,-5.85256074188237,-3.51416270861137,-6.06575740622338,-7.54848297919852,0.943593563519698,-2.12123005056401,-2.14118731746703,-3.64409108642803,-2.80281754750104,-7.28986425652056,-1.64606387584308,-2.2351629224745,-1.4737267310461,-3.74499957106127,0.898666248401241,-4.79648099074439,-2.74205697130583,-9.2408119863253,-7.95139852912189,-2.16028221084707,0.757908038377082,1.87086082852784,4.90179750227981,-5.5230684391131,-4.1000711853294,-2.3840574899541,-4.82534495051732,-1.66891341951305,0.530690869478349,-0.697602210626428,4.32835518161073,-6.28077420981253,-4.35457818566647,3.33829045614948,-6.95189560160497,2.63836800955823,0.358555726411851,0.362245623930448,7.60735994536253,-4.45358174386183,0.178109232745555,-5.20789156347792,-1.51881690310665,1.09415778197581,-0.0102128314192669,4.6282888519454,85.1182699940528,-3.01762326094786,-7.40121364277547,-0.0639902735783835,-7.23381129889049,-0.411178876800932,-4.83880047146658,0.0519730509313376,-8.5887757172095,-2.43837428785901,-1.76914432386729,-3.21441919187919,1.86363102421956,-3.60833285861099,0.988299109322725,-7.27568787905693,-1.0702422554923,-7.00596615966242,-17.4153172050987,0.526039760354706,-1.51130963595961,-0.75522583262682,-2.8192844271066,-11.2079109822994,-6.17134191675586,-6.31715799108224,0.954024499540083,-2.42305399112229,-0.412878709851611,-12.3419758063274,-5.73935091390513,-6.33245706747812,-4.33977183853676,1.97744438984637,-4.080941149507,-3.35557601067876,-4.22236204269484,-7.42338174729002,-7.13624974664981,-6.44602595127708,-6.28284540472259,1.1705193287562,-1.13011721278144,1.71705664929982,5.11155956312268
