Cycle,A09,A10,A11,A12,A13,A14,A15,A16,B09,B10,B11,B12,B13,B14,B15,B16,C09,C10,C11,C12,C13,C14,C15,C16,D09,D10,D11,D12,D13,D14,D15,D16,E09,E10,E11,E12,E13,E14,E15,E16,F09,F10,F11,F12,F13,F14,F15,F16,G09,G10,G11,G12,G13,G14,G15,G16,H09,H10,H11,H12,H13,H14,H15,H16,I09,I10,I11,I12,I13,I14,I15,I16,J09,J10,J11,J12,J13,J14,J15,J16,K09,K10,K11,K12,K13,K14,K15,K16,L09,L10,L11,L12,L13,L14,L15,L16,M09,M10,M11,M12,M13,M14,M15,M16,N09,N10,N11,N12,N13,N14,N15,N16,O09,O10,O11,O12,O13,O14,O15,O16,P09,P10,P11,P12,P13,P14,P15,P16
1,1.26639860236173,36.8367491872364,-0.267735424668444,3.5456471434245,2.04843493278713,4.46438667400344,0.358013929156641,-0.532759428035206,-1.50342907718232,37.0637816426188,0.010696978602482,-3.37187170044899,-0.338463249916913,-0.97610193492892,2.809793721809,1.64347850605645,22.8261075032037,-0.128316853088108,3.39238139393274,1.6050353540727,5.78143089658943,3.53915725904835,-0.13670277077199,2.54051567598299,-2.25985988830098,-13.9295705092704,-1.22696215248288,1.26784701940278,7.55227526076806,-3.15669470567127,0.470681374515152,-2.22383511248017,-2.93218123070756,-13.8577057600824,-2.18588634076104,0.0721343984146188,-1.51890532196421,0.861036184025579,1.9909170214305,3.28831906347887,0.259911087330238,1.39326360439372,4.73687613650554,2.9113000489051,-1.84767326213296,-1.21996723021675,2.00742063587995,3.55124647790763,2.55196199415514,2.80098140607652,1.07210469265146,4.11201515813718,1.53147080835515,-0.878455459497673,-3.85556648753754,0.707585098682557,1.82380055981594,3.66794099017397,8.09128513106907,1.94257878822964,0.513447211231778,2.67735767765998,-1.60277207736817,0.40295721898201,-2.03667684840821,-0.24852441571602,4.71018603456605,4.6741004100104,-2.35961998709627,0.845467275930787,1.07173349974119,-0.613365669614723,5.20487896206168,3.14890447281186,3.43321579034273,-0.820750706021954,-2.45449699049732,0.584749596680012,-2.69276337389147,3.11380049761556,3.73713980585671,4.53532900033679,3.21461110044675,2.25871065165575,-2.06358554105736,0.854214591183336,-0.51837133096933,2.79225274334885,3.31010685118054,4.4478441464762,0.139757616543648,6.39282448353379,0.338416290470377,0.34080542038555,-0.099386604225856,1.55421407851009,3.12700773515917,7.01450060925345,-0.32964823516113,3.46455863925894,0.5965188543164,-1.96842458790661,-1.50304237327964,2.60779244331525,0.832718060031766,4.21402178100197,7.47771626323265,6.16654835387726,1.46959060290601,-0.927907134546786,-5.02069845570441,4.72837360922358,-0.650823536436747,3.45720151473779,7.14328841255019,0.728500262774105,1.67635889826806,1.09790138217159,2.26036558671922,2.12843788642795,3.42943506854408,2.8428720036527,0.822250948705459,3.96713140488009,3.70876481609048,-0.0289107670250814,2.70061945711041,-17.8950474239678
2,-0.448938200958764,16.5689152606046,0.489599020150763,2.09615431976727,-0.894774688125835,1.652713403294,-0.65455431835835,-0.884833949291988,-0.0538234185946749,15.6403341553842,1.22940573244841,-4.25728210565376,-1.69089173840666,-2.14203322191133,1.0078135976978,-0.181481057180918,7.67341495529945,-0.775348683473567,-2.66247954478422,4.17525435614243,0.424273310526132,1.24906022882533,2.49492955416918,-1.83399872769041,-10.6757124622209,3.42853125729516,-6.05449283997996,1.71305487344671,0.450002795458204,-2.84815566537463,-0.516759974211254,-0.989932048926221,-3.44426181781409,-17.6122086548385,-4.23946320438199,2.38893679519924,-3.36405979317351,0.59758105033734,-2.23356096633051,3.71487713025908,-1.13921129567325,2.47298119434799,2.49785928825986,2.01257824759523,-3.22097483812831,-5.8430091518494,1.18580980872775,-3.01578621619274,0.213436303515664,3.0746326849835,-0.392605177325095,1.17081398494474,0.177726924880972,-0.153813063118832,-0.81567853258457,-1.95889675046601,2.23225709395274,3.15796571556257,1.51909994091284,3.28648431823194,-0.0755489220200616,-1.73812398290556,-3.76271467050765,-1.3060283328814,3.88952103760903,0.495736698519977,1.50677947265967,0.0550415456291375,4.40806530349118,-1.21663166751614,1.88726633133183,-6.38535450153586,-1.61383452333666,-1.56547496106214,0.106563704317523,1.06349158838384,-2.96982885118086,3.25543225270349,-3.10755423234104,-2.99507668890965,2.71313851543164,4.36106837333546,0.761871712290031,-0.186938103483499,0.418350546501188,0.342862123225586,-0.862340557169318,0.801121988031355,2.32115583746418,1.27437216730368,3.75451077203616,2.91516688246566,1.25718569149194,3.86189325574469,-2.56827217365844,-0.269149390330313,-2.32788065128716,3.485801212571,0.22110951040213,-5.15827187256446,0.128918367319329,-2.69518919222855,2.05615915290127,0.214895251283451,1.62640015792385,0.624417829744289,2.46042986453949,2.84887578510143,0.6411091631403,1.11738516304058,-2.95853034402808,1.39131592487274,-0.894537285850674,1.24035281375745,0.212591113730014,0.912216537636141,0.261049352895952,3.72111804773931,0.671576256939261,-4.58457125837003,1.75234859055399,5.67579582402686,1.69381144538374,-0.176588253400496,-1.20298274936204,0.0400892204529555,3.39200594364729,-1.27493386845663
3,-0.573233697822616,15.1887153864986,-2.28020804599237,-1.81746594006972,-0.792800035683285,-0.755155050759186,0.0208636178126653,-1.78331366219982,2.07474734640073,13.1238773824257,0.772955084101341,-1.63513628326427,0.142497093165275,-0.972722386803071,-2.88302309104392,0.350852550220225,9.83205485931649,4.46039943224696,2.70618720120819,1.87563145387958,-0.916628813290572,-2.31602074002922,2.46973603716742,-0.444646664538141,-2.94515305453433,-1.06314022542438,-0.757182693843788,-1.76402874120231,2.04316989314066,-2.67315510234221,-2.49141187846135,-5.89816354497907,-1.77641595870091,-4.61726558803548,0.550671198353029,1.66951507666226,-1.41829219649844,-0.709367755381663,4.99950891916387,-0.306189867754256,0.0948143325358615,3.20609850514575,-1.08181256220405,2.66022812780375,-2.5363718840058,0.573053422259363,0.593187057164414,0.460052398638709,1.30404691180001,0.46413672529934,1.49611661537028,0.129126029026338,1.08884841852932,-1.70250850004822,0.405192564031495,-4.04713996197552,-1.82916296528401,0.323930172162363,2.45153492046529,-1.44038605310925,-2.13109472902852,-0.618087765280507,-0.764517251916459,1.05073289660004,0.567172507744999,-0.736519469339328,-1.59409440395302,2.70529014708518,-2.46372600147652,0.172944462915439,1.43062593675813,-0.582460929681929,5.41540150634091,0.203902534914505,0.841583271470427,1.92984786466013,-1.89140462649129,0.933871767680557,1.16186985883314,-0.473543165635419,2.35189115128924,-2.61499677978372,4.10274656479442,-2.41567965528384,-0.829542997431872,0.748055666794244,-1.9733507867918,-1.32529806243201,5.57645332683524,1.1875640965045,2.52510897734419,0.925825914344387,-1.37493683933099,0.292213712495595,2.03824643706866,0.242517627868438,-0.282863321934201,4.35272883377274,-3.64062354306179,-0.00806519045090681,1.55313313801435,1.14173022398836,-3.32776270022532,-2.71364851998533,1.13120179990619,2.81853190721768,2.24593131010579,3.42972108826461,-3.60924806825096,-0.0735781848939041,-1.86259503177143,3.62021038419334,1.20740893436687,2.74224353539148,0.494008111054427,-4.09384377876859,-1.13419392428523,-1.53528725182969,3.82727220435208,3.91750245418689,-1.3329194306616,0.280394421660731,-0.108011059905039,5.85220613594493,3.02325240407208,0.0948201288197197,2.11325360930823,-4.60888060552134
4,-2.95837239701541,12.4010080851072,-5.10972211651642,0.478859666528933,-0.0777739042805479,1.5127293923274,-3.7255895680305,-1.97454698591991,0.251568772488554,10.0518215210395,-1.98031354046725,0.773548437815862,1.26977897879306,-0.517601020979782,2.7365177895158,-1.01848723782405,1.71646958596602,2.67939512333942,-1.31593949922853,0.71997294326502,2.7438148377023,-1.54579474876255,-0.373572314526882,3.21709560631325,-2.28801200509952,1.53332954820462,3.03399814769045,-1.61420699011433,-0.963324805923548,-2.30415186079517,0.299748894904496,0.514540770708209,2.23647360216091,1.79758009722718,3.43779208425576,-0.689706749247762,-1.86351747016261,-3.30512297627729,-0.192846304207251,1.45556693985645,5.03073503327232,3.41470628146271,2.33400931111328,0.111596385625035,1.35878900423859,0.460519095348445,0.293367671556553,-2.20470974505724,-2.54345455070688,3.01127158841609,4.17946915478387,-3.67531120964895,-1.51203533137868,1.14251753767257,-0.064883502907378,1.11865945647151,-0.66090215294571,0.364757463016304,-1.61103363145639,-1.08140856607361,1.50478073225122,0.248955489135824,-2.85547487785698,0.177617532917338,0.69942207332906,-1.1320555666266,-1.41788737891966,0.440870480080321,-1.97678142983159,-1.19275172213429,4.1425132235986,-0.191283647860928,1.49633434446514,0.422444094402636,1.95646970441521,4.53917616124181,-2.66160919064987,-0.425669670618845,-2.56307533676681,-1.78972286815315,0.229949314091755,4.39983471223286,-4.13314243580589,3.95079069487247,-4.77534888576247,1.1009859195533,-1.31047467429471,2.69619643229316,1.10605199156998,1.34040064992178,2.73776336856145,-4.05566542368751,1.9134422801103,-0.364425745744938,-2.14263517045538,0.652222431533573,0.0637196053667139,2.92262725457886,1.767625548674,-0.0785687608859007,0.824690917305816,-0.349692508004409,3.84423166288161,-2.54686684503304,1.62270983375947,3.12050820742024,0.941037473879078,3.9851076427899,0.228045888325596,2.00748854965241,-0.164316566123944,0.667316838428633,0.356603556334903,-5.17432111309927,-0.84390101030931,1.04140432337636,3.91641067734099,4.71163708552513,0.0814649490584998,2.97474876774459,-1.15307961622148,2.5417298236398,-0.342251922720152,-0.271410283581645,0.124512843279263,0.767936430537247,-4.11020623892728,-0.780191095429473
5,-2.70767386005082,5.10928601166324,2.98502679743206,-0.442567934262115,-3.02386616764397,-3.12762238337564,-0.320401252646207,4.63695951677119,0.211129259487279,2.97935968421325,-1.12832342115007,2.39394873769334,2.3281295318402,3.52605972255242,-1.020750850274,0.394022879387649,0.654338760170049,0.5219348648493,1.93119173895639,2.18998829223301,-2.1386326806396,0.054672335280884,1.34320197503621,1.74103809179314,-1.34766175968753,0.683684458520929,3.89844929246783,-0.339676395280094,-3.26632651533691,3.47652991105451,-0.353228170951297,0.28120538343137,-1.2480695289305,2.68785597592705,0.110351833890036,-0.355131995461306,1.3630252111725,-0.00843789766258851,1.21646359393753,4.30281199522597,3.22810146295888,1.14880881645422,2.40440637556367,-0.193717669262242,3.73846503276673,-1.2814309375367,-3.51900985648535,3.66518432694011,1.36306888653598,-0.108553821809437,0.0163844001408506,-2.69070678151093,-2.62321351415903,-0.350460894074786,0.611679125951014,-2.79493104303856,1.18522976326722,2.08814827691776,1.27465501110146,3.87042965382079,-0.657669688132501,-2.85217928785005,2.29257253563173,-0.49949471078844,2.04866281106069,-2.89542983631463,0.234390570083633,-0.513542312042773,1.32123052312591,-0.608380576265972,-1.48982474331251,-2.34579280817252,-2.15283333360912,0.984713501052283,-2.17261896680429,1.66978073167274,-1.54986610139031,0.657033058395427,-0.0772810800331172,-2.53107843496673,-2.0577745784376,-2.31527123809019,-3.56339933446407,-5.0073864191213,-1.46942264042127,1.08342031216671,-3.79945997505956,2.77725381528489,2.06959804576672,-2.92429016670394,2.58506760962246,-0.822089910595878,-0.619416996564269,0.225512587765024,-1.41993869847465,1.49639033034509,-3.33460175084701,2.00048180005797,-2.50973819660658,4.21072607409224,1.39325574435225,-1.63049986588885,-0.676813659227264,2.56311415592108,1.26619093226373,0.148205614120343,2.68492630018136,-2.46384508326901,0.582599990751532,-2.0670322920264,2.14895713576425,-2.70061792555089,5.08749347011508,3.77006481306125,1.60967654000615,3.22032891504114,1.48672890961825,2.74603902896843,0.60131395738199,2.15756192125627,1.96569701739145,2.45435235249033,-0.861312236427693,3.16283088308637,4.57102110717005,-0.432807515025615,1.23796540594003,1.50813688352264
6,1.05978419777875,1.14960696896605,1.91182298888225,-1.54482490453711,3.8692389405137,0.947208550502637,4.52617877279636,-0.000585440815939364,0.155986780106105,1.57692774553288,2.38255503903065,-0.705890330697002,1.56818450397486,0.9388225728826,4.18922452245442,0.0141682966082044,-0.794878672622417,2.4713861720802,1.09215591096699,-0.900316383419067,-3.36010104342085,3.3198844419403,-1.72825135907624,-0.0028439923780752,-1.4172233896893,-0.925583808582815,-1.96935898630454,-5.15332393002427,-1.50531117858827,-3.93004330012809,0.949179864975122,1.32307071935929,0.903738132971739,2.39171223886706,0.783953339271648,-1.06365471623303,2.2573677582227,2.69663633983328,2.25598903611444,1.06782146070418,3.92095964921691,1.73239762520552,1.8217260671554,-1.29774707320621,0.552159117768042,0.191121819142154,1.70857583798488,-2.76605447065094,3.5369083057717,1.8177282228221,0.808989930411371,2.49568365070354,5.86495199199044,1.6331978795547,-1.03912304298001,2.68931101730823,0.917850476221702,0.581761216245923,2.23624031259578,1.5273544662009,-2.48139691471533,-1.55397665315786,-1.80640024961031,-0.402617636221294,2.35644228713909,3.02752924117794,0.347426216091662,0.40239542966583,1.11462973920197,-1.09726417157071,-0.0307997340842121,0.0500479639126752,3.36253100854083,-1.14611944220951,2.05009573652251,0.747009478716336,1.43488447464642,4.43560295273073,-5.34605828725307,1.71472768836156,4.28208288164569,-3.29639038013011,3.12741063952853,2.75320277122137,-1.53374203885187,0.373723135330692,-0.95990407071713,5.34812441058466,1.07273347301361,-0.490969520830731,0.874318325856166,-1.54773550687605,3.271766221505,3.2357178313905,0.769904050749574,4.23005387872672,2.63197220896882,0.907467185284531,0.453027621958427,-1.60557879361568,-2.05479958844671,0.47215107862894,-0.516802662987629,3.32004371746234,-0.966343569604305,-0.339366746349697,-0.842624270978831,3.73681466550852,2.493668515026,0.782133720643742,1.44575848543673,-3.14111763925712,-5.84600285528177,0.823055598941664,-2.65900830963301,2.25442217951104,-3.51567257810029,2.52927360561534,0.75628762297265,2.00732257013169,-1.50675228813407,3.65508994748961,2.69806326677462,-1.96912372327279,-0.19457205707522,1.63185002269938,3.30077743195898,-0.92186015399011
7,-2.64789888100449,-1.36638115430833,-0.54768125334067,1.09353944188888,0.533206543035703,-0.333388486310014,-0.702619039384444,-0.394174633575403,3.80830078962299,-3.44276466100882,1.89871130390884,-1.83022948668895,0.842412561094989,1.17570431373542,-1.14870392945022,-0.220678419070282,-0.19481171367579,2.42721740350999,0.961272900805398,0.94253055658146,-0.957493090397747,2.90145070656126,-2.40940528256442,-1.32971404122873,-4.91849919684682,-1.41190371491848,2.90125071252669,0.0749422101912387,4.83676480745044,2.02128137843329,-0.905161470462645,-0.995625370296693,-1.03956131569385,-1.60992703941065,1.01291926758449,2.24948012793402,0.246365876294476,3.11812462432727,-2.02371647454811,-3.02430384480385,-4.49511632999884,-0.59093308482943,1.48178791653299,-0.0520620781439902,-3.84748631787079,1.33258800740896,-1.71287007173805,0.507703401608524,2.1997296117529,1.02582463352383,3.63623194665661,0.329596235081226,-2.75688444650905,1.40299356268406,-3.04324467939887,1.26101622193164,2.26008892113032,0.889054554629183,4.36782205710051,1.58167706535824,1.94040269446714,1.86621495393229,-0.699030087632309,0.26334638843764,-0.615186822860323,4.49386767924307,0.356739024511626,0.128475876190805,0.430109342362812,5.30980361665252,-2.71227814016584,-2.74836181771389,-2.73778843366426,-0.251999039648581,0.322834760314436,2.46662304544088,-0.238801458835042,-0.455159964521499,3.83165133630746,-2.62005264659501,0.412506494319587,2.50948128028949,1.59007254102426,0.863164284662616,-2.09560301950933,-0.274792423263989,0.679840562553636,-2.73259090277224,1.13198732677847,1.99198813516841,-1.34440760446523,1.54809579154926,0.292204173726077,0.440887502352325,2.99930458774043,-2.30924430831828,-1.56017116419389,0.605992584576597,2.14271046571093,2.37619256093831,-0.967331388046205,-0.403502689329798,-0.0543185325550439,-0.755578639547821,3.10076196069895,-0.620350113138556,-1.02985193273662,1.30825748684811,-0.678759332242407,-1.83138749579302,3.52430682509885,3.29837077029288,3.15997671541345,2.10940324574449,-0.476698218273214,1.99852263721914,-1.01811022779748,-3.6672405284985,-0.946461307494701,1.74425869370725,3.99901680451148,0.0266457744332911,3.48584307043711,-0.226975092240082,-0.116087903682455,1.44527700988147,-2.95980723513958,4.03170764359083
8,2.27978551570732,-5.24470318913609,-1.6583218708015,3.35275711875693,1.04030348878041,-0.815513025193468,-0.875642456219794,2.73770792637742,1.71122003278242,-3.06023191760005,-2.6959665522495,3.71816488681134,-1.01237891916753,-1.0454419159355,0.356495318150337,-0.0622449090251394,-1.00468717515878,1.79976758197427,-3.55799197657188,-2.59208027956493,-2.41674077207699,3.42772899377951,-1.54668743626598,1.58720913168827,-1.35294841348832,-2.0258583791242,-1.94111540993072,3.60184553617046,-0.722726936685376,-0.11328311584748,-2.40417076436597,0.213717398546578,-0.757603777731219,0.0953429089659039,-3.47335682186258,4.44922115018471,-0.726915406242824,1.14158210624328,2.32048202300984,-1.0923567524178,2.79716025473317,-3.3516978573316,0.670713683576196,-1.55737843723045,-0.119004527683956,-1.85200528661335,3.37615968293039,-2.20319092423688,-0.482646012411351,0.430601369024316,1.31568277460246,0.999362931568612,-0.996997156702037,2.17808905128595,3.36574459424946,3.7441202282439,1.52050845071471,5.04396117183387,-2.34344409128516,-1.58365382523198,1.47289574143679,-1.29587741204932,1.49636392564753,1.29450954544473,-5.17862069283638,1.70243590202244,3.08634806715463,1.65603432649141,0.374308089876195,-1.37017516606284,3.48008863071209,-0.582868942907226,2.26180022978497,0.502899487920331,2.10330554426173,-0.879090998014817,4.32630708890838,-4.13669257201354,-1.30980239326891,1.49838010679878,-2.60610342070686,1.89300584622379,2.62010353420874,-1.42772453180214,5.63635529568046,1.179460082275,-2.14379984904053,0.421463908624446,-1.97070772289271,1.38200842782135,-0.272777928363666,2.7939409793189,3.50202362908976,-1.3275015838276,-0.609446866493272,0.811324116651122,0.928590647545661,1.67878931871383,0.714929041998857,1.45118954677264,1.21216160460108,2.4745928269358,-1.3426559449249,1.69250310644156,1.49146614455503,2.91642366917131,2.29724447301032,2.04613006470208,2.23809395685021,3.5517128058018,-0.469319286953123,-0.727578702394567,-0.897330548065383,3.15355263332685,-2.15184913308121,1.16439558045158,-1.23115312007985,1.71650870679605,1.16954696393577,-1.58295206661751,0.888671533131856,-3.30061302536888,0.503246234684411,0.921933020785673,-2.0103869995296,2.51034561073084,4.27265300616091,1.97961669347615
9,-1.65821771829224,-5.30786778434867,-1.27034886238243,-0.134838035046869,-1.06902025502586,-2.11192588961831,-2.60144552787096,0.709967146287454,-0.652427897839061,-5.62943912502215,-1.3583978696156,-0.670187793119567,0.282208030087986,1.60212765107235,-1.49788100141041,-1.54955286999393,-1.12218553479488,0.520494035758475,1.49862132427825,1.86414733947777,-3.09757140304055,-0.00400478985557129,-5.61331858630956,1.79518423028912,6.50383349832236,1.201984722426,1.25131689035925,-0.916762457218283,-2.08566188234727,-0.252222394279215,0.37546927562471,-0.790614492870645,2.40024905533937,-0.322207897076169,-3.91644632865655,1.12063301875969,-1.72932067760712,-1.89321857886489,-0.523340454574736,0.0252306601551027,-1.14660622464953,-0.527868361084529,-0.770635885618049,-1.29722618755613,0.73731572667657,1.23695204923797,-1.66777468900727,0.838761835393598,1.52550189985914,3.19279444948324,-1.78708917817676,-2.74290682505307,2.17434830532238,5.37406034833884,-0.0991492968678358,-1.11857623576179,-2.96836255071821,-1.88637062294083,-1.25090717915236,-1.04593879558843,1.69818015895953,1.1378834498264,-2.54431741796998,0.81046339899649,-4.10781344968018,-1.8608028143567,-1.52045373565488,-0.966352253889454,1.48111735707926,-0.859754156706458,0.789468832090733,-3.34901734466575,-2.35931463291627,0.145878047630049,-2.08699170118098,-0.758014001788979,0.297535235420128,-0.713106746732592,-2.38668590164616,0.934912551689649,0.386099990304501,-0.359986731546087,-2.03820542721996,1.13495062120046,-3.39300642999206,0.553345557747434,4.3828054499686,-2.6859811786735,0.692545959349445,2.12350638710768,-0.53311760405586,-1.71795166224365,-1.20150009631698,1.23051461264868,0.453696726011913,1.15415357325764,0.798688803935875,-0.782527738197132,1.73967588987125,2.32720230577297,-0.0299472791175504,-2.58898211707628,1.53976594822279,-1.94877380804155,-1.36216327251077,-3.95143220242699,1.75619560334508,-7.35094822518749,-0.690231179426519,-2.09782558777806,-0.869160775766431,-2.97819631017592,-0.343460835295446,-3.46106941310973,-0.228758290699261,-2.94129898167557,0.705302719777137,-1.37446815876729,0.0832396870678167,-4.87746223075328,0.781917534476634,-1.31235887346111,1.79895339993936,0.600849800549895,3.86468410942189,-7.53056855413524,4.38557558649791,3.39500127135534
10,-2.2827428368555,-6.87155610289437,-2.60272241216899,-0.301083650532291,0.722484060331681,-2.25984498132402,0.552911150294676,-2.27377561551612,0.691284810208344,-6.94801035338969,3.89537240289064,2.36290139161565,-1.71444566965511,-1.04612810987192,-3.54168767879173,1.23632541896313,-0.611191523676553,-3.74834840860876,1.02260970837006,-1.5348918356076,2.30653709122817,-0.744132094494944,-2.28175422691902,2.77687657303295,8.66754244747744,-3.290980335109,-0.38966479980536,-0.368931750073898,0.276545810373591,-0.435490123688851,0.889013353160408,0.372445135644739,-1.93731860760363,3.19207455930291,0.374462341549133,-2.34717591137996,-2.47618490683271,-1.52176809524599,2.60270417237371,0.171492453897372,-1.55264514900955,-0.433399515380188,0.834202694813484,0.691687552585336,-0.676499858318948,-0.0108938592588856,-3.11663839638413,1.2690230307644,-1.47481455476918,-0.397134147884117,-4.38805777772586,2.7833775979916,2.10163397861197,2.71008434947316,-0.673552173218923,1.71140523153917,-3.39806215417275,2.09098950875477,-0.714662663550826,3.43952806286916,0.986975914267987,-3.1341451504577,-0.807229706816088,-0.754820307846785,0.326813022808437,-2.01863934045696,4.1335873435537,-2.32860604655298,-0.593990151424805,-3.72616205200666,2.74614280184096,2.67838426658182,1.89020917859216,0.750036567680581,3.56733053066273,-4.32450667915737,-0.138558439699409,-0.611157926861324,0.949468987899309,-0.430523775601614,-2.33922300461472,0.333392331154755,3.94864136110846,1.48249584685436,-2.68086071858306,-0.314868770538851,1.29659746813059,-2.40950095652443,-3.42545226978291,-1.0083813080264,3.87366366428023,1.20069150564768,1.41320769749836,0.437842068037753,-1.11646955586502,-4.63139651134043,0.418668881786289,-3.98801208970417,-2.80024777171275,-6.85585189836502,-0.578639608577305,1.08471817669079,0.104862599891476,3.92182301712,-0.161211203367202,3.32762070926265,-0.942570935905678,-0.075185887202224,-1.98161676596374,-0.481794320151494,-4.38408901251705,3.03897879820852,0.0809303800097041,0.701011695580746,-0.474591608099672,-2.04914963858209,0.0275416380018214,-3.61831658637266,-1.12051360613032,1.25110868805814,0.706739562610892,0.390086436177171,2.8003276332206,1.6432908949605,-2.0389322799947,3.3272431997093,0.845325420547852,3.17292852496303
