ID,Target,Well,Tm,Area
1,H30,A19,81.4532019704433,12.566512310523
1,H30,B19,81.4039408866995,11.9854762181867
1,N,A1,81.4532019704433,12.566512310523
1,N,B1,81.4039408866995,11.9854762181867
1,RdRp,A13,81.4039408866995,11.9854762181867
1,RdRp,B13,81.4039408866995,11.9854762181867
2,H30,C19,81.4532019704433,12.0795870648378
2,H30,D19,81.4039408866995,12.0165668059137
2,N,C1,81.6009852216749,10.889807105797
2,N,D1,81.6009852216749,10.889807105797
2,RdRp,C13,80.8620689655172,12.4021309079159
2,RdRp,D13,80.8620689655172,12.4021309079159
2,S,C7,81.4532019704433,11.4482255372176
2,S,D7,81.4532019704433,11.4482255372176
3,H30,E19,81.4532019704433,12.0619618584115
3,H30,F19,81.4532019704433,11.4482255372176
3,N,E1,84.0147783251232,10.939268283661
3,N,F1,83.9655172413793,12.0350758863715
3,RdRp,E13,80.8620689655172,12.4021309079159
3,RdRp,F13,80.8128078817734,10.067129408851
3,S,E7,80.2709359605911,13.9906066269459
3,S,F7,80.2709359605911,13.9906066269459
4,H30,G19,81.5024630541872,12.0754472345854
4,H30,H19,81.4532019704433,11.0851185385922
4,N,G1,81.6009852216749,10.889807105797
4,RdRp,G13,80.8620689655172,10.3372820150276
4,RdRp,H13,80.9113300492611,12.0259462700301
5,H30,I19,81.4532019704433,11.4750098260785
5,H30,J19,81.4532019704433,11.1969611694521
5,N,I1,81.6009852216749,10.889807105797
5,N,J1,81.6009852216749,10.889807105797
5,RdRp,I13,80.8620689655172,12.0090826144188
5,RdRp,J13,80.8620689655172,10.3372820150276
5,S,I7,80.2216748768473,14.6406116809271
6,H30,K19,81.4532019704433,11.3350008705318
6,H30,L19,81.4532019704433,11.3902288672956
7,H30,M19,81.4532019704433,11.0365312196502
7,H30,N19,81.4532019704433,11.2828204824143
8,H30,O19,81.4532019704433,11.9036278126367
8,H30,P19,81.4532019704433,11.0181476742407
8,N,O1,81.6009852216749,10.889807105797
8,N,P1,81.6009852216749,10.889807105797
8,RdRp,O13,80.8620689655172,10.3372820150276
8,RdRp,P13,80.8620689655172,12.0090826144188
8,S,O7,80.2216748768473,10.5727434337591
8,S,P7,80.2216748768473,14.6406116809271
9,H30,A20,81.5024630541872,12.4746614419777
9,H30,B20,81.4532019704433,12.3790374496108
9,N,A2,84.0147783251232,10.939268283661
9,N,B2,83.9655172413793,12.0350758863715
9,RdRp,A14,81.0098522167488,14.3869700026994
9,RdRp,B14,81.0098522167488,12.075604380188
9,S,A8,80.5665024630542,11.709797177687
9,S,B8,80.4679802955665,14.1226430745732
10,H30,C20,81.5024630541872,11.7219779232992
10,H30,D20,81.5024630541872,11.3443913247583
10,N,C2,81.6009852216749,10.889807105797
10,N,D2,84.0147783251232,10.939268283661
10,RdRp,C14,81.0098522167488,14.3869700026994
10,RdRp,D14,81.0098522167488,12.075604380188
10,S,C8,80.2709359605911,13.9906066269459
10,S,D8,80.2216748768473,10.5727434337591
11,H30,E20,81.3054187192118,13.0880827711328
11,H30,F20,81.3054187192118,14.3255028370014
11,RdRp,E14,81.0098522167488,11.0510920760157
11,RdRp,F14,80.9113300492611,11.2072461590776
12,H30,G20,81.3054187192118,13.7014554946717
12,H30,H20,81.256157635468,13.4900648540582
12,N,G2,84.0147783251232,10.939268283661
12,N,H2,81.6009852216749,10.889807105797
12,RdRp,G14,81.0098522167488,14.3869700026994
12,RdRp,H14,81.0098522167488,12.075604380188
12,S,G8,80.5665024630542,11.709797177687
12,S,H8,80.4679802955665,14.1226430745732
13,H30,I20,81.3054187192118,12.801552428076
13,H30,J20,81.3054187192118,12.2012905575435
13,N,I2,84.0147783251232,10.939268283661
13,N,J2,83.9655172413793,12.0350758863715
13,RdRp,I14,80.8128078817734,11.389057517895
13,RdRp,J14,80.8620689655172,12.0090826144188
13,S,I8,80.2216748768473,10.5727434337591
13,S,J8,80.2216748768473,14.6406116809271
