,Temperature,A11,A3,A4,B1,B2,B3,B4,C10,C3,C4,D10,D3,D4,E3,E4,F3,F4,G10,G12,G3,G4,H3,H4,G11
,76,2889.21995784556,3860.27115452751,2084.60849253874,3876.87219672727,3876.87219672727,3892.98236004422,1979.28576034009,3904.97336508065,4362.40800460445,1985.72324627189,3805.38686510415,4304.91169189288,1976.06764132329,3229.35076288336,1998.90723105047,3229.35076288336,2000.85771930155,2889.21995784556,2718.53961604675,4304.91169189288,2001.0724813217,4260.84522608724,2001.6577874797,1977.92641075746
,76.5,2852.95832991602,3810.0487891155,2084.14528472451,3837.77994894096,3837.77994894096,3849.22434922231,1978.88012046731,3863.86194056944,4313.43947289915,1985.55232747712,3765.47814995788,4257.49367488598,1975.68201400165,3192.79621695803,1999.00683364327,3192.79621695803,2000.59356585457,2852.95832991602,2604.06740315219,4257.49367488598,2001.05486681485,4211.20101113616,2001.65936743288,1978.06971441933
,77,2817.82487459984,3757.56610990047,2083.67734703819,3797.56648342914,3797.56648342914,3804.52630732826,1978.71777554954,3822.14150489506,4260.54805832764,1985.19967973718,3725.29252872124,4206.49286303207,1975.28892126334,3156.23518859434,1998.97073757538,3156.23518859434,2000.11634677405,2817.82487459984,2498.97456142067,4206.49286303207,2001.25039036859,4158.03809071271,2001.65580299652,1978.39254776509
,77.5,2783.96643895911,3701.03720058884,2083.30318431985,3754.92597164044,3754.92597164044,3755.37852684643,1978.76358882443,3778.64400826487,4197.55365231262,1985.13094441553,3683.57896538832,4146.57339913881,1975.02884781683,3120.06371582919,1998.91356631803,3120.06371582919,1999.72965601676,2783.96643895911,2406.22616233234,4146.57339913881,2001.45600805521,4094.98101351481,2001.82607457196,1978.61189472534
,78,2750.89955735974,3634.88962050483,2082.7619556491,3707.09250706263,3707.09250706263,3693.93490347486,1978.79030692057,3731.53143807071,4113.00132574054,1985.09753664161,3637.81334640179,4066.26556334498,1974.96165793757,3084.0694787216,1998.79830102553,3084.0694787216,1999.56157795167,2750.89955735974,2326.65588292734,4066.26556334498,2001.51371194385,4010.89579667156,2001.9544104384,1978.70522348042
,78.5,2718.44898135416,3550.18109118238,2082.05946975221,3650.3932823022,3650.3932823022,3608.73226820952,1978.67609950261,3676.42248254871,3993.66885693385,1984.93263047292,3584.30110925832,3952.84737798356,1974.92726196949,3048.39403734501,1998.34520048112,3048.39403734501,1999.26204515429,2718.44898135416,2260.01184126378,3952.84737798356,2001.34413039362,3891.63389753017,2001.72083293876,1978.70699282947
,79,2686.58115146021,3436.91817966606,2081.20812363119,3577.80487995838,3577.80487995838,3487.88530241418,1978.51475236714,3606.94367254772,3829.28950150183,1985.01536110869,3517.13246104209,3799.85766639678,1974.92012354244,3012.13801959053,1998.00075230618,3012.13801959053,1999.1689384664,2686.58115146021,2204.93666937613,3799.85766639678,2001.31338347076,3726.72649785046,2001.59209857357,1978.55712818017
,79.5,2655.73144001054,3287.806532453,2080.43301278383,3481.16660247472,3481.16660247472,3324.36744334206,1978.06085239985,3514.45270549132,3619.27055950413,1985.1822526555,3427.63492404311,3610.84340940353,1974.97183234604,2975.14492269747,1997.65373534522,2975.14492269747,1999.22753546084,2655.73144001054,2159.79956082247,3610.84340940353,2001.16881753695,3515.95687892308,2001.52168390987,1978.44931656429
,80,2626.39498905955,3105.18393281748,2079.7038246203,3353.8514331551,3353.8514331551,3121.79770495385,1977.52412284303,3391.49623056269,3375.23663934417,1985.13848546484,3309.01658984407,3396.66457231429,1974.86601124498,2935.71891249338,1997.43263571362,2935.71891249338,1999.26213910103,2626.39498905955,2122.76074109595,3396.66457231429,2001.0071797641,3272.1674052623,2001.228452226,1978.30561694805
,80.5,2598.71571172761,2901.89585166327,2079.20741975154,3192.86142403874,3192.86142403874,2896.22972179034,1976.91735757583,3233.66996652466,3120.26551646825,1984.94358625775,3157.62317227003,3175.59404912202,1974.79418782235,2893.13953910422,1997.37859071882,2893.13953910422,1999.07907008925,2598.71571172761,2093.09495203366,3175.59404912202,2000.97584862475,3017.7798733295,2000.91005320847,1978.31667282953
,81,2572.43779361611,2696.68353116236,2078.83016711668,3001.23696147851,3001.23696147851,2671.16964381008,1976.34271469063,3043.82785209883,2876.99199750792,1984.81738034443,2975.84662295117,2965.93355112681,1974.76845088174,2847.57695064147,1997.48993318205,2847.57695064147,1999.06416648127,2572.43779361611,2069.90148887897,2965.93355112681,2001.12068692498,2777.19319834982,2000.54350580956,1978.24034306438
,81.5,2547.20064755184,2508.5449338381,2078.65088603553,2792.5104386033,2792.5104386033,2470.1061852874,1975.67739828509,2834.38676835635,2666.36910529155,1984.40825591627,2775.60057346333,2781.22430102709,1974.66733943739,2800.87170354473,1997.43712614918,2800.87170354473,1998.8932956709,2547.20064755184,2052.44175479547,2781.22430102709,2001.22364585522,2573.18270654046,2000.19467093785,1978.11150040843
,82,2521.8950164469,2354.84311613435,2078.46956502764,2586.03900353953,2586.03900353953,2312.07543484821,1975.21126656857,2625.07401896619,2498.50239709652,1984.05726629484,2576.37208024365,2622.80805695999,1974.42677592139,2753.1841357784,1997.44836017657,2753.1841357784,1998.66598347207,2521.8950164469,2039.65568337035,2622.80805695999,2001.1702618627,2415.28337278406,1999.64396499078,1977.75303691087
,82.5,2493.28155020882,2238.97321936953,2078.16516020976,2400.72503775265,2400.72503775265,2201.50223264969,1974.78489481572,2435.25132244558,2369.68177653569,1983.77851337646,2396.8215385725,2487.31407197482,1974.39555885516,2707.08240599445,1997.47936172647,2707.08240599445,1998.41281953956,2493.28155020882,2030.70171407078,2487.31407197482,2000.99529186682,2298.37543830706,1999.38628051855,1977.55535861713
,83,2459.5831003892,2154.58637816575,2077.59676180478,2251.75202914492,2251.75202914492,2130.55213731286,1974.52231316169,2281.59534020976,2269.47642756636,1983.62136352437,2252.48785140936,2372.92744557928,1974.1870226722,2662.89846678995,1997.36771350665,2662.89846678995,1998.25890103025,2459.5831003892,2024.26734313381,2372.92744557928,2000.77097935342,2213.21378948897,1999.28911461693,1977.2656757183
,83.5,2420.18528458645,2095.29399259518,2076.90607364347,2146.86488521657,2146.86488521657,2088.17073613559,1974.22591272747,2172.34024995572,2195.82463894898,1983.39090980724,2151.19111351293,2283.64115881657,1973.86088947828,2619.61826097616,1997.20321367122,2619.61826097616,1998.07579826237,2420.18528458645,2019.43601337378,2283.64115881657,2000.39744232112,2155.54524402305,1999.44345444063,1976.99546301266
,84,2375.25497635296,2057.69598096586,2076.15419012147,2082.18768029278,2082.18768029278,2065.16742254775,1973.96315177162,2104.68554639977,2142.39263854909,1983.37601132593,2089.38364029014,2216.93343157817,1973.75285463946,2575.78693569102,1997.26352321387,2575.78693569102,1998.03547425353,2375.25497635296,2015.58135369172,2216.93343157817,2000.12553475783,2116.70796952197,1999.63028524108,1976.77043720146
,84.5,2325.21254600948,2032.46110292207,2075.30325463151,2047.5481097874,2047.5481097874,2051.14791962781,1973.53201649575,2068.38948732495,2102.7034743694,1983.19560859132,2056.91848103602,2170.9353139601,1973.98179679645,2532.22598061746,1997.23556893935,2532.22598061746,1997.92017999205,2325.21254600948,2012.15707121908,2170.9353139601,1999.99758693075,2089.96248517676,2000.01788842104,1976.7031719243
,85,2274.00410663202,2016.13432548355,2074.42508342928,2032.39175091876,2032.39175091876,2041.40592784341,1973.15029966895,2052.86018403573,2075.72069314013,1983.05967411238,2043.0473140097,2144.04194144441,1974.13360155448,2488.77786045462,1996.98744074661,2488.77786045462,1997.74560115718,2274.00410663202,2009.03920531935,2144.04194144441,2000.00280878892,2074.01241413408,2000.09693296364,1976.51855656909
,85.5,2225.10344869735,2007.97950017188,2073.84841288548,2027.20256242034,2027.20256242034,2035.07317059324,1972.70421105531,2047.76254754709,2060.76882177603,1983.0207192502,2038.41675517871,2130.46844672102,1974.38738219347,2447.43873636022,1996.56584006445,2447.43873636022,1997.63333354214,2225.10344869735,2006.23989033,2130.46844672102,2000.06768562432,2067.08093772959,1999.98165385427,1976.37798287754
,86,2180.54956077687,2005.47372395201,2073.40410323991,2024.94005166504,2024.94005166504,2030.90594180598,1972.36320818862,2046.10006708951,2050.81520816806,1983.1740899272,2036.30353011927,2120.40460057552,1974.74061614079,2409.97003279527,1996.25156610309,2409.97003279527,1997.32204209148,2180.54956077687,2003.74191772356,2120.40460057552,2000.1820450566,2063.34304578904,1999.84174028405,1976.33734372286
,86.5,2140.85467232098,2003.65248047891,2072.92519605761,2023.17865095621,2023.17865095621,2026.28910092193,1972.20016306954,2044.97954685585,2042.0928136071,1983.25312349787,2034.74103673562,2109.9803596727,1974.8635609156,2377.47982689856,1995.67052087596,2377.47982689856,1996.69525965135,2140.85467232098,2001.2655613748,2109.9803596727,2000.11888981016,2059.92721127293,1999.56899942734,1976.45355245337
,87,2107.58101666696,2002.24576081059,2072.57580307612,2021.7156611375,2021.7156611375,2020.94244323215,1972.35942932059,2043.98687991862,2034.67514502059,1983.58104066396,2033.26022506658,2099.02253446116,1974.4300008157,2348.58440250424,1995.26063214007,2348.58440250424,1996.31083680956,2107.58101666696,1999.18801494555,2099.02253446116,2000.05007761406,2057.04637225109,1999.2817493314,1976.28828954271
,87.5,2080.67857520878,2000.84226885109,2072.35851970345,2020.12095327924,2020.12095327924,2014.99650590383,1972.50273588187,2042.80413097163,2027.70559475513,1983.72169779343,2032.12008440958,2087.62263273761,1973.97886805118,2315.71411394585,1995.11568196094,2315.71411394585,1996.07778292762,2080.67857520878,1997.41941353158,2087.62263273761,2000.02372939618,2054.29474045045,1999.02955799136,1976.1544312581
,88,2058.87165310365,1999.60347324636,2071.97712605128,2018.34054888731,2018.34054888731,2008.77566547456,1972.65784021223,2041.42358569948,2020.99451431121,1983.69238593562,2030.95840552519,2076.70000896302,1973.45995654318,2275.74877575892,1995.34644230676,2275.74877575892,1995.87439465447,2058.87165310365,1995.93835709967,2076.70000896302,1999.92450311303,2051.65472490358,1998.94601961687,1976.04356073592
,88.5,2040.88492719626,1998.26233626752,2071.43213228086,2016.69290565537,2016.69290565537,2002.89808998283,1972.74973527601,2040.06523171322,2015.06642125561,1983.53951934654,2029.94420858745,2067.50075993442,1972.92715933687,2228.51342580269,1995.37974134132,2228.51342580269,1995.86441423083,2040.88492719626,1994.69090351391,2067.50075993442,1999.77383996406,2049.00467386297,1998.6602076695,1975.91123294068
,89,2026.45454462124,1996.9844311673,2070.84248316937,2015.02061626254,2015.02061626254,1998.2837746164,1972.91460466143,2038.74362799106,2010.41879244652,1983.44564739248,2028.93148294865,2060.57938636935,1972.34306214026,2174.24867933441,1995.43761762917,2174.24867933441,1996.11921655663,2026.45454462124,1993.90620583424,2060.57938636935,1999.62516069768,2046.61449585852,1998.40038445999,1975.53353980946
,89.5,2014.46985772829,1995.73525514808,2070.16755418128,2013.34191872851,2013.34191872851,1994.73045864174,1972.78881730891,2037.47682932534,2006.37180873526,1983.1486107923,2027.92557489722,2055.56012073403,1972.22761345036,2115.0538981557,1995.33013226634,2115.0538981557,1996.26374448149,2014.46985772829,1993.16986247519,2055.56012073403,1999.39265382343,2044.21355260201,1998.09212562959,1975.56471478831
,90,2004.8369215669,1994.75415178381,2069.44684514743,2011.69464675938,2011.69464675938,1992.0654636794,1972.78015715287,2036.13335820528,2003.45595411984,1982.98764806334,2026.52496527667,2052.05629739093,1972.08298702148,2065.13908480786,1995.13459995009,2065.13908480786,1996.32509334895,2004.8369215669,1992.36565676387,2052.05629739093,1999.01987431916,2042.09198456342,1997.84717030177,1975.71198946759
,90.5,1997.66150818627,1993.90227440537,2068.62143780508,2010.23123292382,2010.23123292382,1990.179909039,1972.90926262624,2035.00628179911,2001.32713685571,1983.01052457584,2025.03677189856,2049.82620568746,1971.914732075,2028.28630424182,1994.68080336845,2028.28630424182,1996.18007934981,1997.66150818627,1991.32110397868,2049.82620568746,1998.62254875116,2040.10151428396,1997.60552429904,1975.75906432642
,91,1992.74989222109,1992.98362097561,2068.10486755569,2008.87908083029,2008.87908083029,1988.90393476274,1972.96993187811,2033.98735564459,1999.63843447554,1982.96938210443,2023.75358371873,2048.01401638612,1971.6293337246,2003.70641550619,1994.36207983375,2003.70641550619,1995.88610992948,1992.74989222109,1990.18289678513,2048.01401638612,1998.33694344437,2038.46734243412,1997.55284215024,1975.87100894858
,91.5,1989.76096469052,1991.98744697428,2067.6342885774,2007.8735586872,2007.8735586872,1987.60349359133,1972.72648087085,2033.04285802123,1998.1712635224,1982.82798671083,2022.64936737093,2046.23260939086,1971.61067833101,1990.46590366609,1994.32694084609,1990.46590366609,1995.61963847254,1989.76096469052,1989.0039632078,2046.23260939086,1998.14547142294,2036.95056534663,1997.58391341289,1976.11230594641
,92,1988.28619540846,1991.00870009559,2067.28923559393,2006.90821559189,2006.90821559189,1986.56399214717,1972.64860640662,2032.28430498109,1997.15143646178,1982.63453032714,2021.97098168749,2044.62960095692,1971.37257676114,1987.03975466237,1994.2712390347,1987.03975466237,1995.18439271656,1988.28619540846,1987.9644108025,2044.62960095692,1997.92320349455,2035.68692262573,1997.79828316236,1976.16474820815
,92.5,1987.41833638899,1990.11508681482,2066.84154557998,2006.2736645938,2006.2736645938,1985.8757473615,1972.39704643653,2031.94670651351,1996.05032016072,1982.46518655872,2021.8876970816,2043.17331372477,1971.11336409198,1986.07310876482,1994.06193429802,1986.07310876482,1994.7614311193,1987.41833638899,1986.9967351422,2043.17331372477,1997.61279338528,2034.60427730393,1998.02650919453,1975.9867445734
,93,1986.60047113364,1989.18913278883,2066.61939727271,2005.66989457993,2005.66989457993,1985.63627778557,1971.91516256885,2031.49316510587,1995.2123902658,1982.15964848642,2021.88993861315,2041.79406396716,1970.94981359417,1985.2438762509,1994.11162774004,1985.2438762509,1994.55420350036,1986.60047113364,1986.28041922304,2041.79406396716,1997.30405054781,2033.76581291378,1998.14629923094,1975.87814992355
,93.5,1985.85819292848,1988.69081291852,2066.16901874783,2005.02695009635,2005.02695009635,1985.47295448028,1971.70482957406,2030.9397611361,1994.5840302974,1981.92139898661,2021.60031638384,2040.65800641627,1970.88330413004,1984.46395172048,1994.1222369466,1984.46395172048,1994.60186475529,1985.85819292848,1985.57691880794,2040.65800641627,1996.78409067611,2032.97015648633,1998.11939613241,1975.76328985938
,94,1985.38394187843,1988.26004543432,2065.53144233326,2004.30398589782,2004.30398589782,1985.94840474472,1971.44089873439,2029.41164031655,1994.65273804764,1981.84278628119,2020.15135186087,2039.95886571155,1970.87524713634,1983.73724513203,1994.3896116501,1983.73724513203,1994.7575040731,1985.38394187843,1984.7650978282,2039.95886571155,1996.53692912731,2032.267001763,1997.95003350335,1975.75438988696
,94.5,1985.04655095696,1987.94436521294,2064.94892952617,2003.60284697897,2003.60284697897,1986.43680740686,1971.15091469009,2027.9155823664,1994.65790483558,1981.7967263107,2018.60867157392,2039.29113149046,1970.90119783705,1983.12687302188,1994.75126535651,1983.12687302188,1995.13342217535,1985.04655095696,1983.92629663555,2039.29113149046,1996.1926218194,2031.59632438245,1997.57075309337,1975.77148951425
,95,1985.21488829647,1987.45741816953,2063.71602039429,2002.85200938365,2002.85200938365,1987.89764016228,1970.64683124063,2023.87718205287,1996.35124403656,1982.07564584426,2014.17799346871,2039.48609521001,1971.39145966684,1982.34915396888,1996.02623239328,1982.34915396888,1995.83282624246,1985.21488829647,1982.90228548897,2039.48609521001,1996.82404602069,2030.82869804266,1997.00969387295,1976.16604336043
