,Temperature,A8,A9,A12,B8,B9,C11,C8,C9,D11,D8,D9,E8,E9,F8,F9,G8,H8,B12
,80.5,3344.18697322384,3217.77237226991,2060.16730256236,3270.56373556563,3156.33796944397,3053.6486385378,3350.06031265598,3193.05436684611,2731.61226471593,3293.1968341578,3202.84045950591,3284.26824793868,3155.11954011009,3192.86142403874,3177.36438960425,3319.66442932063,3175.32505173386,2007.92307257961
,81,3137.49640355253,3024.54075525686,2058.67243026887,3071.08394551318,2969.52987289863,2890.31577713002,3145.00490805163,3003.81375517566,2604.07753479146,3089.92629679214,3010.97143755588,3084.03642625503,2970.44551512829,3001.23696147851,2987.30195058523,3118.36699263623,2989.30105639453,2007.8105495577
,81.5,2911.88059203078,2813.86020828805,2057.38065611216,2854.28738127856,2766.36925676179,2709.76438433762,2922.21077200835,2797.56173752965,2463.8773824538,2869.37129920759,2801.99093524943,2864.84811335932,2768.99376205817,2792.5104386033,2780.42727812064,2897.54477075361,2786.34109955237,2007.69151531137
,82,2688.41881160605,2604.8307347847,2056.16503118892,2640.3733533169,2565.45247707809,2528.56976847698,2701.81001904056,2592.85180091198,2324.71725488906,2651.55403763638,2595.25277118864,2646.66719340692,2568.72524002763,2586.03900353953,2575.50859824053,2677.0371062836,2584.48143273551,2007.76973942155
,82.5,2488.42235461124,2416.84339884617,2055.01457439661,2449.68786497896,2385.77934996383,2362.77159397098,2504.01750427247,2408.67135536386,2199.79675796764,2456.83913203252,2409.99428040215,2450.0405965389,2388.45197288181,2400.72503775265,2391.4575866442,2477.15722094073,2402.61472340279,2007.76720230445
,83,2328.2497694944,2265.16764341788,2054.05339798589,2297.5981686621,2241.95161240052,2226.16717408954,2344.87777171692,2260.56295067053,2100.13418257131,2301.10216164509,2261.17978434432,2291.36180875862,2243.38518416108,2251.75202914492,2243.48180130912,2314.70717934448,2255.76046703308,2007.73738875698
,83.5,2215.83732989942,2157.54856875268,2052.91010503199,2191.48108682599,2140.67109030429,2126.944414224,2232.05375001741,2156.0069081545,2030.49154568085,2191.7077939301,2156.07559748193,2179.03029566008,2140.78553978447,2146.86488521657,2139.14561203714,2198.44672345353,2151.4421998073,2007.54282496946
,84,2146.36290490793,2090.48616882803,2051.71693330893,2126.37799420617,2078.14758042632,2063.97968800847,2161.40200043899,2090.84104991951,1988.05700905845,2123.55841645454,2091.01883313202,2109.24267646349,2077.08081397455,2082.18768029278,2074.44196708743,2125.44165571448,2086.32859611349,2007.27640939511
,84.5,2109.0560494337,2053.82895046013,2050.50663765728,2091.85017291775,2044.6270171097,2029.00891934344,2122.36474347136,2055.7380807016,1965.70134347956,2086.71529001821,2056.12961476704,2071.64053475354,2043.05221934149,2047.5481097874,2039.4962580482,2085.43874358906,2051.23352298927,2006.97411759059
,85,2092.2514850277,2036.75106578808,2049.13016030164,2076.49996683976,2029.46317718104,2012.9206867659,2103.80619550681,2039.88901661091,1956.23006877111,2069.31036834459,2040.48961107489,2054.95943524318,2027.87743315739,2032.39175091876,2023.82058151161,2066.99348790073,2035.41982582171,2006.76357620251
,85.5,2085.88596476629,2029.99514554167,2047.73766217841,2070.76412884766,2023.39464025941,2006.93727094456,2095.48059523637,2033.25321853346,1952.60458344235,2061.57107498752,2034.46246844406,2048.68073231012,2021.96527673287,2027.20256242034,2018.0154740675,2060.11368138233,2029.40971246676,2006.52680169243
,86,2082.54453973986,2026.50445185769,2046.43382139634,2067.81766203472,2020.18046698459,2004.70708542024,2090.71304802226,2029.87684350291,1950.58085305451,2056.55213485096,2031.3165685983,2045.62446333155,2019.28507796833,2024.94005166504,2015.30126865378,2057.09759138258,2026.89985263499,2006.51764196363
,86.5,2080.22208522437,2023.83014007607,2045.2751677674,2065.70097695353,2017.57291197194,2003.31931505671,2086.80633371584,2027.24619655697,1948.96151844055,2052.57472997875,2028.78881478601,2043.39831992905,2017.31123662481,2023.17865095621,2013.19854367651,2054.81962598623,2025.05638414027,2006.3508807422
,87,2078.27050397385,2021.43975160472,2044.16548681684,2063.86768566746,2015.12723812844,2001.8759881846,2083.52440811871,2024.74590397527,1947.45283708525,2048.7255677958,2026.40290660176,2041.41103211617,2015.47328813051,2021.7156611375,2011.50293798858,2052.95568278853,2023.34599714971,2006.14369199557
,87.5,2076.1764349423,2019.58066651226,2043.3599102956,2061.7312819686,2012.72914863273,2000.42979867395,2080.38695852953,2022.23777636382,1946.03176642241,2045.54391769471,2024.04828334536,2039.22664218675,2013.77603205064,2020.12095327924,2009.8575916122,2051.2786005204,2021.90979631533,2005.88904177193
,88,2073.86974636358,2017.40254159963,2042.48337166301,2059.62854151701,2010.545932251,1998.97966823679,2077.2382634805,2020.19512904513,1944.91046653311,2042.59598789232,2021.88460739725,2037.23130983005,2012.26967836978,2018.34054888731,2008.36323602798,2049.37010176453,2020.5402376378,2005.7180126002
,88.5,2071.68054637378,2015.39140895387,2041.62544188132,2057.5265941517,2008.57058577292,1997.56846204277,2074.01243233552,2018.08322974366,1944.29176155957,2040.2160650695,2020.23474862542,2035.39103018122,2010.60475484509,2016.69290565537,2007.01408803375,2047.7216786034,2019.04874621801,2005.44428686751
,89,2069.47302005421,2013.29173811771,2040.58976819078,2055.27087151395,2006.62193343714,1996.08913249869,2070.95073343523,2016.11666403688,1943.70748660218,2037.96554533676,2018.83495789004,2033.33495527658,2009.04759483699,2015.02061626254,2005.81476877876,2046.20051637504,2017.59313124333,2005.30128291763
,89.5,2067.44229002707,2011.41088635365,2039.37991878555,2052.96320834458,2004.75228564563,1994.91425830802,2067.7451398629,2014.38737198719,1943.11258052694,2035.97168571874,2017.44388605831,2031.30255459832,2007.42501873577,2013.34191872851,2004.75992540187,2044.63575760432,2016.22530345776,2005.27104422994
,90,2065.6187768752,2009.28844355439,2037.88258524054,2051.16142179247,2003.04616877733,1993.76507123777,2064.6448947258,2012.91985818758,1942.49611934592,2033.75297712738,2016.16383254093,2029.4620531374,2005.7542713322,2011.69464675938,2003.79867822944,2042.90821877009,2014.79795839278,2005.25812779564
,90.5,2063.79913684202,2007.5158525529,2036.39343804907,2049.31447486133,2001.4120977782,1993.00257538722,2062.28305676677,2011.550748933,1941.87319331803,2031.72931051741,2014.85721044689,2027.75197265932,2004.21784186904,2010.23123292382,2002.49792061978,2041.34003819005,2013.33483024064,2005.23712247166
,91,2062.00387787416,2005.91501907284,2034.84659721624,2047.60947990419,1999.92644202462,1992.31975535914,2060.50450822112,2010.32734361541,1940.9871182664,2029.94115163163,2013.45250459622,2026.2124249798,2002.72981699336,2008.87908083029,2001.08275665022,2039.77045760602,2011.98627232967,2005.1074736758
,91.5,2060.29883773764,2004.66162088819,2033.39997751298,2046.24902535734,1998.64024269425,1991.67832483343,2059.08453876632,2009.20481205621,1940.17326082427,2028.52920165081,2012.08078130357,2024.92355270663,2001.09553535869,2007.8735586872,1999.8776367305,2038.40998412528,2010.76260813895,2005.1022048488
,92,2058.59463794804,2003.55704977008,2032.3374013267,2045.03176713185,1997.65034319091,1991.06089885842,2058.11686991856,2008.09108085071,1939.5370992481,2027.54431681027,2010.90883379447,2023.83340894688,1999.70537958299,2006.90821559189,1998.64967785228,2037.25810132892,2009.7268591679,2004.84074697032
,92.5,2057.0333697918,2002.58385186251,2031.3108657923,2043.79457455506,1996.78953319369,1990.57725333383,2057.4886173541,2007.18466496631,1938.83338069504,2027.01295641398,2009.8048628944,2022.85476253745,1998.50143680031,2006.2736645938,1997.45266465407,2036.36359372771,2008.69133644961,2004.51226807639
,93,2055.96645435963,2001.82733692364,2030.41427438025,2042.96727386951,1996.06730953066,1989.83368481314,2056.63277913509,2006.39730864704,1938.24509079466,2026.81930948786,2008.95962704851,2021.99450868536,1997.38212689854,2005.66989457993,1996.75187953515,2035.57041765677,2007.90933922437,2004.1512373744
,93.5,2055.20496627554,2001.11416765491,2029.68501824761,2042.32755792816,1995.56186551008,1989.11344485632,2055.57173618722,2005.93352620818,1937.68368902256,2026.56934609797,2008.19166850741,2021.15581863933,1996.57711174015,2005.02695009635,1996.18810923228,2034.64713577907,2007.39225437356,2003.92399209133
,94,2054.91340611257,2000.50860827344,2028.8011648802,2042.24730443433,1995.48641022088,1988.10134625944,2054.61361513772,2005.94584832907,1937.22612542128,2026.41421410209,2007.40578808722,2020.47293309171,1996.31700572851,2004.30398589782,1996.02101632393,2034.12718248328,2006.62125503272,2003.76985359864
,94.5,2054.804154547,1999.95199972574,2027.82590923915,2042.27801542204,1995.34209515598,1987.02732989084,2053.45602465388,2006.06183289673,1936.71833734746,2026.21208760645,2006.73979090919,2019.81355139683,1996.03445144391,2003.60284697897,1995.91338096793,2033.37831633689,2006.01860122539,2003.73878733257
,95,2055.33256831668,1999.68063990946,2026.47549504152,2043.51008348499,1996.15817004628,1985.21554281837,2052.76310627911,2006.95973412463,1936.46301992674,2026.04351030816,2005.75598397948,2019.28155394766,1996.6415956742,2002.85200938365,1996.70805917827,2033.83772091668,2004.54393822795,2004.18452536755
